"VCF0004","VCF0101","VCF0102","VCF0103","VCF0104","VCF0106A","VCF0110","VCF0111","VCF0112","VCF0113","VCF0114","VCF0115","VCF0116","VCF0118","VCF0127","VCF0128B","VCF0138","VCF0142","VCF0143","VCF0146","VCF0147","VCF0148","VCF0148A","VCF0149","VCF0150","VCF0151","VCF0152","VCF0154B","VCF0702","VCF0704","VCF0704A","VCF0705","VCF0706","VCF0707","VCF0708","VCF9001","VCF9002","VCF9009","VCF9013","VCF9014","VCF9015","VCF9016","VCF9017","VCF9018","VCF9026","VCF9027","VCF9028","VCF9029","VCF9030","VCF9030A","VCF9030B","VCF9030C","VCF9031","VCF9032","VCF9035","VCF9036","VCF9037","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9048","VCF9049","VCF9055"
1990,76,7,5,2,2,1,3,3,1,1,3,6,2,2,1,0,144,1,2,5,4,4,1,60,3,124,6,2,NA,NA,NA,NA,NA,NA,12,3,5,1,1,1,1,1,1,NA,1,NA,NA,7,2,2,2,5,NA,7,8,NA,4,1,1,4,3,2,8,14
1990,65,6,5,1,1,1,3,3,1,1,3,5,3,2,0,0,144,1,2,1,6,6,1,50,3,110,10,2,NA,NA,NA,NA,NA,NA,90,2,5,1,5,2,5,1,1,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,1,1,1,4,5,3,1,14
1990,49,4,4,1,2,2,3,3,1,2,3,1,1,2,1,0,144,1,1,4,1,1,3,10,3,102,8,2,NA,NA,NA,NA,NA,NA,14,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,1,NA,6,2,NA,NA,NA,NA,NA,1,2,1,14
1990,83,7,6,2,2,1,3,3,1,2,3,6,2,2,1,1,144,1,2,3,1,1,3,60,3,124,6,2,NA,NA,NA,NA,NA,NA,90,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,3,8,2,14
1990,80,7,5,2,2,1,3,3,1,1,3,6,2,2,2,0,144,1,2,5,1,1,4,60,3,231,6,2,NA,NA,NA,NA,NA,NA,65,5,0,3,2,2,2,1,2,NA,NA,NA,NA,7,2,2,2,5,NA,0,8,NA,2,2,2,4,8,2,2,14
1990,62,5,4,2,2,2,1,3,1,3,1,5,3,2,1,0,141,1,1,1,1,1,4,50,1,129,1,1,NA,NA,NA,NA,1,1,50,5,4,1,4,1,4,1,1,NA,1,NA,NA,7,2,2,2,5,NA,7,8,NA,5,2,5,2,3,3,2,12
1990,82,7,6,1,1,1,2,3,1,2,3,5,3,2,1,0,141,1,1,5,4,4,1,50,3,124,8,1,NA,NA,NA,NA,1,2,35,5,2,1,2,3,2,4,2,NA,2,NA,NA,2,1,2,1,5,NA,7,2,NA,4,2,1,4,1,2,1,12
1990,73,6,5,2,1,2,3,1,2,2,2,5,3,2,0,0,113,1,1,5,4,4,1,50,2,230,5,1,NA,NA,NA,NA,1,NA,50,5,5,1,5,1,5,4,1,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,2,4,5,1,1,3,1,85
1990,21,1,2,1,1,2,3,1,2,1,3,1,1,2,1,1,113,1,2,7,1,1,3,10,3,148,10,2,NA,NA,NA,NA,NA,NA,20,1,5,1,3,1,4,3,1,NA,2,NA,NA,7,2,2,2,5,NA,0,4,NA,5,2,5,3,3,2,1,85
1990,47,4,3,2,1,2,3,1,2,3,6,7,4,2,0,0,113,1,1,1,1,1,3,70,3,230,NA,2,NA,NA,NA,NA,NA,NA,18,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,3,4,NA,NA,NA,NA,NA,3,3,1,85
1990,50,4,4,1,1,2,3,1,2,3,4,1,1,1,1,0,113,1,2,4,4,4,1,10,4,148,13,2,NA,NA,NA,NA,NA,NA,28,1,0,1,4,4,4,5,3,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,4,1,2,5,3,2,1,85
1990,33,2,3,2,1,2,3,1,2,5,1,1,1,2,0,0,113,1,2,7,1,1,3,10,1,99,1,2,NA,NA,NA,NA,NA,NA,22,1,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,5,8,NA,NA,NA,NA,NA,5,1,1,85
1990,33,2,3,2,1,2,3,1,2,NA,2,1,1,2,0,1,113,1,2,3,1,1,3,10,2,230,4,2,NA,NA,NA,NA,NA,NA,19,1,5,1,4,1,2,1,1,NA,NA,NA,NA,7,2,2,2,5,NA,5,4,NA,2,2,1,5,3,3,1,85
1990,47,4,3,1,1,2,3,1,2,4,3,1,1,2,1,0,113,1,1,1,3,3,3,10,3,121,11,2,NA,NA,NA,NA,NA,NA,25,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,0,8,NA,NA,NA,NA,NA,5,2,1,85
1990,40,3,3,2,1,2,3,3,1,3,6,7,4,2,7,1,151,1,1,1,NA,NA,5,70,6,NA,NA,2,NA,NA,NA,NA,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,2,1,1,NA,7,2,NA,NA,NA,NA,NA,3,3,1,12
1990,18,1,2,2,1,2,3,3,1,1,3,4,2,2,7,0,154,1,1,7,1,1,4,40,3,NA,11,2,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,4,NA,NA,NA,NA,NA,3,3,1,12
1990,31,2,2,1,1,4,2,1,2,3,1,1,1,2,0,0,101,1,2,2,3,3,4,10,1,10,2,1,NA,NA,NA,NA,1,NA,24,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,2,5,NA,5,4,NA,NA,NA,NA,NA,5,3,2,81
1990,68,6,5,2,1,2,1,1,2,4,6,7,4,2,4,0,336,5,1,1,6,6,2,70,6,502,NA,1,NA,NA,NA,NA,NA,NA,38,5,2,1,2,1,4,4,1,NA,2,NA,NA,7,2,2,2,5,NA,7,8,NA,1,2,4,4,3,3,2,81
1990,77,7,5,2,1,1,3,2,2,2,3,5,3,2,0,0,137,5,2,1,1,1,3,50,3,230,8,1,NA,NA,NA,NA,1,1,2,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,1,3,1,21
1990,64,5,4,1,1,2,3,2,2,2,3,1,1,2,0,0,133,1,1,1,6,6,2,10,3,220,8,1,NA,NA,NA,NA,1,1,40,1,4,5,1,5,2,2,3,NA,2,NA,NA,7,2,2,2,5,NA,3,2,NA,2,1,2,5,1,3,2,21
1990,34,2,3,2,1,3,3,2,2,2,1,1,1,2,3,2,125,1,1,1,1,1,3,10,1,400,1,2,NA,NA,NA,NA,NA,NA,15,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,2,5,NA,4,2,NA,NA,NA,NA,NA,5,3,1,21
1990,25,2,2,2,1,2,2,2,2,4,3,1,1,1,0,4,123,1,1,2,1,1,3,10,3,230,12,1,NA,NA,NA,NA,1,1,90,6,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,2,5,NA,7,4,NA,NA,NA,NA,NA,1,3,1,12
